ID,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,6.18
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,6.89
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,6.85
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,6.84
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,6.47
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,6.76
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,6.35
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,5.17
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,5.81
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,5.85
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,5.76
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,6.52
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,5.73
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,5.68
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,5.27
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,6.05
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,5.57
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,5.13
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,6.12
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,6.36
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,5.36
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,6.21
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,6.33
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,5.4
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,5.76
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,6.14
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,6.28
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,5.33
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,5.83
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,5.2
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,5.79
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,5.02
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,5.7
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,5.51
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,4.7
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,5.47
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,4.7
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,5.52
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,5
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,5.29
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,5.25
165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,5.27
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,5.36
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.87,0,4.59
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,4.48
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,5.14
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,5.15
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,4.87
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,5.11
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,5.21
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,4.74
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,4.73
180,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,4.53
182,Diablo III,PC,2012,Role-Playing,Activision,2.43,2.15,0,4.58
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,5.01
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,4.89
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,5.04
186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,4.59
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,4.68
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,5.04
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,4.87
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,2.48,0.44,4.56
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,4.34
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,5.02
194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,4.75
198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,4.67
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,3.88
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,3.95
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,4.85
203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,4.82
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,4.45
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,4.79
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,4.53
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,3.51
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,4.59
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,4.16
212,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,4.25
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,4.79
216,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,4.74
217,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,4.22
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,1.68,0,4.24
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,4
220,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,3.75
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,4.58
222,FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,4.09
226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,4.48
227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,4.31
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,3.97
231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0,4.18
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,4.48
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,4.48
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,1.99,0.22,4.1
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.78,1.39,1.1,4.27
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,1.15,1.44,4.14
237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,3.72
238,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,4.12
239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,4.45
240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,4.45
241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,3.88
242,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,4.25
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,3.73
245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.54,1.94,0.19,3.67
246,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,4.02
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,1.11,0.46,4.12
248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,4.03
249,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,3.96
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,3.54
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,4
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,4.3
253,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,3.9
254,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,3.6
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,4.2
257,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.93,0.01,3.86
258,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.75,1.18,0,3.93
262,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,3.94
264,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,3.53
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,4.16
266,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,2.29
267,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.02,0,3.47
268,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,3.97
269,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.03,1.27,0.62,3.92
270,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,3.37
271,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,3.38
272,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,3.55
273,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,3.68
274,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,3.76
276,FIFA 12,X360,2011,Sports,Electronic Arts,0.84,2.79,0.02,3.65
278,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,4.09
280,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,3.58
281,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,3.37
283,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,4.02
284,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,3.22
285,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,3.71
287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,3.68
289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,4.09
291,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,2.4
293,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,3.28
294,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,3.99
295,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,3.7
296,Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,3.34
297,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,4
299,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,3.96
301,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,3.62
302,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,3.61
303,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,3.43
304,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,3.52
305,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.18,1.96,0.08,3.22
306,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,3.8
307,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,3.47
308,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.71,0.13,3.17
309,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.67,0.49,2.62,3.78
310,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,3.2
312,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,3.18
314,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,3.36
315,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,3.16
316,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,3.17
317,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.87,1.57,1.05,3.49
318,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,3.78
319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,3.71
320,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.26,0.48,0.81,3.55
321,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,1.93,0.41,3.4
322,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.37,0.73,3.54
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,1.91,0.27,3.32
325,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,1.03,0,3.43
327,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,2.9
328,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,1.47,0,3.45
329,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,3.59
330,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,3.45
331,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,3.51
332,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,3.17
334,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,3.51
335,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,3.1
336,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,3.6
337,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.51,0.27,3.08
338,MySims,DS,2007,Simulation,Electronic Arts,1.59,1.61,0.08,3.28
339,Friend Collection,DS,2009,Misc,Nintendo,0,0,3.67,3.67
340,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,3.32
341,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,1.22,0,2.87
342,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,3.55
343,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,3.4
344,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,3.3
345,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.71,1.8,0.4,2.91
346,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,3.32
347,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,3.57
348,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.46,0.05,3.11
349,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,0.69
350,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.42,0.05,3.25
352,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,1.61,0.15,3.04
355,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,3.19
357,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,3.51
359,WWF SmackDown!,PS,2000,Fighting,THQ,2.01,1.35,0.06,3.42
